1482	49.000
306	7.700
984	6.900
1820	3.000
1898	1.400
1978	11.000
2059	0.600
3542	2.700
2216	0.700
3201	0.500
2227	0.700
3211	1.000
1505	3.900
2499	1.100
3179	5.600
3484	4.700
4967	7.100
1559	1.300
2554	0.400
3541	0.900
5022	5.400
1552	1.800
1635	0.900
1791	1.500
2627	1.000
3613	0.400
5095	3.100
1871	0.500
1951	2.000
2946	0.900
3625	1.300
3930	2.600
5414	3.000
2437	0.300
3431	1.600
4415	1.700
2604	0.900
2684	1.500
3598	0.400
4582	0.800
244	50.8602
444	53.2500
688	1.2750
1725	3.5250
2169	1.9500
2235	33.8979
1263	21.1523
3498	17.0846
1534	0.0847
3769	0.8813
1332	0.4847
2595	3.0203
1398	4.9200
1754	2.9700
2224	10.8000
1468	1.0800
2866	1.2300
1307	1.4100
3062	0.4500
960	4.5000
1430	2.1000
1786	0.8400
3184	0.3300
2035	0.7500
1273	27.3780
755	0.0930
2028	1.0530
398	0.0087
1153	0.3090
2426	1.5690
1039	0.0021
1794	0.0078
31	1.2065
942	0.4610
972	0.0025
401	0.4559
1342	0.6858
1373	0.0597
648	0.0011
1589	0.0597
1620	0.0038
1779	1.2700
336	2.7000
1040	10.8000
1638	0.8000
2211	0.5000
2266	0.1300
1474	0.2900
