55.0	41.5139	0	0
336.0	0.2000	0	0
1040.0	1.8000	0	0
1583.0	0.1000	0	0
1586.0	6.0000	0	0
1638.0	5.8000	0	0
1794.0	0.1000	0	0
2129.0	1.1000	0	0
2133.0	0.4400	0	0
2445.0	0.1444	0	0
2500.0	0.0722	0	0
2560.0	34.0000	0	0
2615.0	2.0000	0	0
3169.0	2.9000	0	0
3173.0	0.1100	0	0
3223.0	1.3000	0	0
3227.0	2.0000	0	0
3674.0	1.1000	0	0
3985.0	0.7600	0	0
1398.0	12.3000	0	0
1754.0	7.4250	0	0
2224.0	27.0000	0	0
1468.0	2.7000	0	0
2866.0	3.0750	0	0
1307.0	3.5250	0	0
3062.0	1.1250	0	0
960.0	11.2500	0	0
1430.0	5.2500	0	0
1786.0	2.1000	0	0
3184.0	0.8250	0	0
2035.0	1.8750	0	0
1273.0	68.4450	0	0
755.0	0.2325	0	0
2028.0	2.6325	0	0
398.0	0.0218	0	0
1153.0	0.7725	0	0
2426.0	3.9225	0	0
1039.0	0.0053	0	0
1794.0	0.0195	0	0
31.0	23.7500	0	0
941.7	9.0750	0	0
972.2	0.0500	0	0
400.6	8.9750	0	0
1342.2	13.5000	0	0
1372.8	1.1750	0	0
648.1	0.0213	0	0
1589.4	1.1750	0	0
1620.0	0.0750	0	0
1779.0	25.0000	0	0
2389.8	0.2200	2880.925	0.00055
3080.9	0.0610	2536.700	0.00002
3084.8	0.0540	2533.500	0.00002
1474.0	0.3100	0	0.00120
1474.0	0.3919	110	0.00120
1474.0	0.9406	376	0.00120
1474.0	1.7898	512	0.00120
1474.0	0.3527	808	0.00120
1474.0	0.5487	1050	0.00120
1474.0	0.4181	1103	0.00120
1474.0	0.2482	1190	0.00120
1474.0	0.2874	1371	0.00120
1474.0	1.3325	2570	0.00120
