0.025 1000 53
53  
0.025 1.27184
 0.03 1.39554
 0.04 1.61591
 0.05 1.81113
 0.06 1.98712
 0.07 2.14653
 0.08 2.29132
 0.09 2.42338
 0.1 2.54447
 0.15 3.03106
 0.2 3.38889
 0.25 3.66500
 0.3 3.88170
 0.4 4.18952
 0.5 4.38818
 0.6 4.51834
 0.7 4.60173
 0.8 4.65412
 0.9 4.68557
 1 4.70238
 1.5 4.67211
 2 4.55913
 2.5 4.41649
 3 4.26309
 4 3.95812
 5 3.67700
 6 3.42669
 7 3.20596
 8 3.01132
 9 2.83909
 10 2.68596
 15 2.12323
 20 1.76675
 25 1.52164
 30 1.34292
 40 1.09931
 50 0.94034
 60 0.82787
 70 0.74378
 80 0.67835
 90 0.62588
 100 0.58282
 150 0.44692
 200 0.37470
 250 0.32994
 300 0.29961
 400 0.26146
 500 0.23884
 600 0.22417
 700 0.21410
 800 0.20689
 900 0.20155
 1000 0.19746
