0.025 1000 53
53  
0.025 1.04060
 0.03 1.14180
 0.04 1.32211
 0.05 1.48183
 0.06 1.62582
 0.07 1.75625
 0.08 1.87472
 0.09 1.98276
 0.1 2.08184
 0.15 2.47996
 0.2 2.77273
 0.25 2.99864
 0.3 3.17594
 0.4 3.42779
 0.5 3.59033
 0.6 3.69682
 0.7 3.76505
 0.8 3.80792
 0.9 3.83365
 1 3.84740
 1.5 3.82263
 2 3.73019
 2.5 3.61349
 3 3.48799
 4 3.23846
 5 3.00846
 6 2.80365
 7 2.62306
 8 2.46380
 9 2.32289
 10 2.19760
 15 1.73719
 20 1.44553
 25 1.24498
 30 1.09876
 40 0.89943
 50 0.76937
 60 0.67735
 70 0.60855
 80 0.55501
 90 0.51209
 100 0.47685
 150 0.36566
 200 0.30657
 250 0.26995
 300 0.24513
 400 0.21392
 500 0.19541
 600 0.18341
 700 0.17517
 800 0.16927
 900 0.16491
 1000 0.16156
