TH1.Print Name  = h1DSSD1e, Entries= 3456932, Total sum= 3.45693e+006
 fSumw[133]=384, x=53, error=19.5959
 fSumw[134]=362, x=53.4, error=19.0263
 fSumw[135]=289, x=53.8, error=17
 fSumw[136]=239, x=54.2, error=15.4596
 fSumw[137]=149, x=54.6, error=12.2066
 fSumw[138]=155551, x=55, error=394.4
 fSumw[139]=122, x=55.4, error=11.0454
 fSumw[140]=115, x=55.8, error=10.7238
 fSumw[141]=135, x=56.2, error=11.619
 fSumw[142]=111, x=56.6, error=10.5357
 fSumw[143]=120, x=57, error=10.9545
 fSumw[144]=144, x=57.4, error=12
 fSumw[145]=140, x=57.8, error=11.8322
 fSumw[146]=127, x=58.2, error=11.2694
 fSumw[147]=126, x=58.6, error=11.225
 fSumw[148]=130, x=59, error=11.4018
 fSumw[149]=139, x=59.4, error=11.7898
 fSumw[150]=142, x=59.8, error=11.9164
 fSumw[151]=118, x=60.2, error=10.8628
 fSumw[152]=120, x=60.6, error=10.9545
 fSumw[153]=103, x=61, error=10.1489
 fSumw[154]=131, x=61.4, error=11.4455
 fSumw[155]=134, x=61.8, error=11.5758
 fSumw[156]=114, x=62.2, error=10.6771
 fSumw[157]=119, x=62.6, error=10.9087
 fSumw[158]=121, x=63, error=11
 fSumw[159]=139, x=63.4, error=11.7898
 fSumw[160]=106, x=63.8, error=10.2956
 fSumw[161]=88, x=64.2, error=9.38083
 fSumw[162]=131, x=64.6, error=11.4455
 fSumw[163]=119, x=65, error=10.9087
 fSumw[164]=122, x=65.4, error=11.0454
 fSumw[165]=117, x=65.8, error=10.8167
 fSumw[166]=125, x=66.2, error=11.1803
 fSumw[167]=137, x=66.6, error=11.7047
 fSumw[168]=115, x=67, error=10.7238
 fSumw[169]=109, x=67.4, error=10.4403
 fSumw[170]=114, x=67.8, error=10.6771
 fSumw[171]=125, x=68.2, error=11.1803
 fSumw[172]=126, x=68.6, error=11.225
 fSumw[173]=112, x=69, error=10.583
 fSumw[174]=112, x=69.4, error=10.583
 fSumw[175]=125, x=69.8, error=11.1803
 fSumw[176]=123, x=70.2, error=11.0905
 fSumw[177]=109, x=70.6, error=10.4403
 fSumw[178]=108, x=71, error=10.3923
 fSumw[179]=103, x=71.4, error=10.1489
 fSumw[180]=126, x=71.8, error=11.225
 fSumw[181]=83, x=72.2, error=9.11043
 fSumw[182]=107, x=72.6, error=10.3441
 fSumw[183]=124, x=73, error=11.1355
 fSumw[184]=124, x=73.4, error=11.1355
 fSumw[185]=146, x=73.8, error=12.083
 fSumw[186]=115, x=74.2, error=10.7238
 fSumw[187]=113, x=74.6, error=10.6301
