55	41.5139
336	0.2000
1040	1.8000
1583	0.1000
1586	6.0000
1638	5.8000
1794	0.1000
2129	1.1000
2133	0.4400
2445	0.1444
2500	0.0722
2560	34.0000
2615	2.0000
3169	2.9000
3173	0.1100
3224	1.3000
3227	2.0000
3674	1.1000
3985	0.7600
1398	12.3000
1754	7.4250
2224	27.0000
1468	2.7000
2866	3.0750
1307	3.5250
3062	1.1250
960	11.2500
1430	5.2500
1786	2.1000
3184	0.8250
2035	1.8750
1273	68.4450
755	0.2325
2028	2.6325
398	0.0218
1153	0.7725
2426	3.9225
1039	0.0053
1794	0.0195
31	23.7500
942	9.0750
972	0.0500
401	8.9750
1342	13.5000
1373	1.1750
648	0.0213
1589	1.1750
1620	0.0750
1779	25.0000
1474	6.6000
2390	0.2200
3081	0.0610
3085	0.0540
